,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019,Q1-2020,Q2-2020,Q3-2020,Q4-2020,Q1-2021,Q2-2021,Q3-2021,Q4-2021
total economic activities,330037,341764,333299,348142,325628,347377,339161,362584,336197,354781,346185,360910,338452,357658,350220,373620,354545,371659,362369,385280,367212,380364,367486,386069,362756,381159,371676,391024,364505,380223,371241,391699,368126,388089,378345,396975,369418,391980,383296,399299,379728,397581,388688,407435,389036,405649,395034,408319,393593,406476,393244,393528,363112,376659,375463,385182,366277,386196,382599,392756,374327,392223,384764,387656,366812,379517,373589,377897,356328,371771,371042,375278,357491,371321,371639,374758,358155,373637,374402,381856,363842,379665,379310,385440,371920,384626,384012,391885,376058,388860,386746,395083,377662,391133,390477,395041,355691,323744,369977,373702,357896,378495,386467,395218
  non market economic activities,53123,53085,53389,52719,53009,52860,53364,53255,54163,54417,54946,54331,54780,54688,55046,54424,55461,55705,56245,55833,57314,57573,58137,57429,58152,58158,58655,58123,58325,58300,58581,57808,58291,58194,58518,57766,58226,58233,58585,57885,58582,58527,59041,57896,58306,58527,58776,57700,58366,58367,58862,57646,58383,58365,58750,57595,58458,58574,59002,57904,58524,58488,58741,57285,57659,57588,57866,56680,57104,57078,57378,56529,56865,56877,57119,56057,56453,56273,56541,55651,55931,55947,56511,55477,55325,55260,55785,54699,54890,55042,55738,54816,55234,55216,55463,53936,53481,52440,53654,52873,53497,53866,54651,53717
"  agriculture, forestry and fishing",2693,6167,11430,10993,2914,6182,11069,11783,3026,6666,11907,11220,3118,6683,12139,12758,3347,6949,12224,12009,2931,6385,11769,12274,2823,6297,11186,11565,2903,5996,10477,11322,2983,6603,11737,12998,2636,6190,11672,12152,2560,6198,11433,12259,2762,6415,11374,12057,2761,6543,11567,12336,2541,6231,11639,12294,2622,6294,11566,12465,2685,6424,11813,12784,2853,6631,11416,12167,2926,6478,11627,12366,3124,6579,11578,11358,3109,6613,11884,12582,3347,6936,12025,11859,3165,6613,11386,11717,3329,6666,11743,11753,3245,6566,11421,11728,2766,5985,11271,11423,2850,6192,10881,11112
"  mining and quarrying, manufacturing, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities, construction",101964,103387,89529,98860,95342,103914,90748,103506,99683,105096,91253,100964,98628,104377,91745,104331,103947,107833,93254,104843,107039,107734,92536,103910,104041,107223,95835,107394,103490,105551,94985,106042,104663,109512,96954,107564,103563,110587,99121,108571,109179,111727,100620,112059,112660,114572,102725,111237,112577,115122,101109,101234,91251,93877,87432,94309,91637,99596,91709,97670,95015,101249,90738,93857,91604,94624,86233,89738,86571,91270,84908,88261,85814,88555,82787,86385,84298,88844,83638,88468,86900,91885,85390,90374,90940,93073,87725,93205,93240,95867,88537,94157,93898,95995,90104,93213,85183,71407,86728,91590,92987,97576,91641,97577
"    mining and quarrying, manufacturing, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities",80205,79718,67900,76587,74858,81226,69880,80258,78646,82277,70439,78739,77475,81255,70898,81612,81529,83826,71508,81743,83766,82780,70419,79408,80526,82653,72558,81475,79182,79572,71302,80413,80016,82717,72612,81265,79082,83205,73933,81689,83411,84307,75679,84126,86162,86439,77679,84565,86704,87544,76034,76385,68543,68720,64790,70947,70797,75898,70067,75001,74574,78281,70036,72300,72988,74007,67555,70178,69718,72229,67043,70141,69943,71231,66615,69498,69271,72086,67821,71447,71617,74760,69550,73585,75143,76146,71927,76132,77542,78595,72464,76797,77489,78317,73555,75684,69777,58277,69300,73321,75012,77611,72707,76582
      mining and quarrying,1372,1465,1351,1432,1476,1634,1490,1478,1365,1425,1417,1370,1434,1476,1343,1287,1582,1603,1565,1481,1282,1382,1330,1441,1375,1435,1466,1403,1262,1298,1286,1315,1169,1297,1252,1334,1304,1306,1256,1227,1134,1298,1184,1270,1185,1362,1288,1174,1235,1369,1221,1020,1051,1206,1053,960,885,1008,1025,903,961,1197,1252,1220,1181,1337,1232,1131,1056,1201,1215,1170,1179,1374,1319,1225,1041,1075,1071,1187,1312,1345,1491,1692,1595,1506,1639,1607,1603,1628,1566,1507,1472,1506,1492,1431,1459,1510,1754,1791,1811,1820,1861,1770
      manufacturing,64975,64702,54158,61925,60434,66305,56227,65444,63921,67306,56476,63923,62483,66208,56903,66619,66350,68718,57562,66920,68916,68144,56905,64698,65660,67750,58483,66635,64627,65284,57654,65720,65190,67755,58442,66110,64116,68252,59885,66964,68695,69953,62183,69923,72041,72386,64236,70506,72105,73011,62234,62730,55157,55546,51837,57635,58040,63118,57536,62228,61921,65576,57531,59778,60291,61420,55234,58074,57678,60357,55302,58537,58527,59832,55417,58614,58555,61611,57249,60880,60735,63999,58547,62099,63731,65041,60601,64535,65731,66966,60706,64882,65424,66438,61535,63744,57885,46891,56967,60922,62374,65051,60084,63756
"        manufacture of food products, beverages and tobacco products",5801,5663,5821,6053,5553,5778,6158,6214,5833,5997,6326,6248,5744,5930,6385,6501,6439,6584,6799,6659,6314,5963,6304,6505,6045,6067,6476,6795,6064,5908,6459,6651,6099,5882,6294,6669,5986,6110,6631,6966,6293,6110,6723,7055,6415,6140,6693,6906,6260,6070,6441,6430,5742,5583,6423,6624,6146,6399,7105,6813,6586,6741,7206,6773,6560,6435,7214,6570,6340,6279,6797,6535,5996,6121,6705,6610,6318,6572,7165,6917,6297,6561,6941,6961,6593,6774,7349,7184,6992,6966,7348,7440,7157,7151,7646,7389,6725,6113,7043,6710,6577,6781,7592,7327
"        manufacture of textiles, wearing apparel and leather products, manufacture of wood and paper products, and printing",14015,13298,11192,12643,13096,13399,11071,12710,13255,13565,11222,12550,13022,12955,10636,12398,13314,13316,11068,13093,14313,13360,11193,12287,13037,12711,10743,11902,12425,11968,10395,11464,12104,12174,10173,10985,11318,11639,9937,11297,11825,11545,10005,11419,12212,11766,10031,11387,11744,11639,9386,10374,9278,9467,8196,9692,9648,10441,9246,10214,10416,11121,9356,10159,9985,10241,8942,9832,9827,9997,9207,9539,9975,9845,9117,9609,9348,9776,9056,9919,9569,9930,9308,9723,10046,10137,9546,10026,10368,10238,9423,9887,10617,10038,9450,9723,8618,6328,8098,8290,8500,8629,8272,8888
"        manufacture of coke and refined petroleum products, manufacture of chemicals and chemical products, manufacture of basic pharmaceutical products and pharmaceutical preparations",6203,6235,5264,6011,6067,6332,5572,6539,6520,6676,5537,6445,6428,6700,5715,6684,6324,6448,5117,6094,6420,6600,5591,6252,6543,7010,5996,6636,6628,6720,5669,6223,6362,6535,5670,6181,5974,6524,5707,6042,6232,6568,5824,6177,6634,6552,5820,6292,6978,6649,5979,5304,4547,4854,4609,4651,5168,5702,5250,5486,5547,5638,5127,5110,5605,5630,5176,5118,5253,5389,5007,5198,4748,4725,4534,4719,5345,5808,5412,5638,5488,5907,5369,5377,5740,5701,5260,5419,5501,5537,5037,5212,4994,5488,5505,5282,5184,3757,4449,4449,4806,5033,4486,4982
